CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET;geo_point_2d
1155;Downtown;"{""coordinates"": [-123.12173688420178, 49.27517836400233], ""type"": ""Point""}";__FJ00XU;15260852;LMS2146;MAINLAND ST;49.27517836400233, -123.12173688420178
297;Downtown;"{""coordinates"": [-123.12153004031498, 49.274705191931204], ""type"": ""Point""}";__FJ00Y8;15660892;017316383;DAVIE ST;49.274705191931204, -123.12153004031498
1300;Downtown;"{""coordinates"": [-123.12766812691713, 49.275785308754145], ""type"": ""Point""}";__FJ00YI;13061412;028190394;GRANVILLE ST;49.275785308754145, -123.12766812691713
560;Downtown;"{""coordinates"": [-123.12507258032441, 49.276223595427396], ""type"": ""Point""}";__FJ010C;13461208;015473881;DAVIE ST;49.276223595427396, -123.12507258032441
1441;Downtown;"{""coordinates"": [-123.13237412713471, 49.27600196957051], ""type"": ""Point""}";__FJ0114;12461653;013344617;HORNBY ST;49.27600196957051, -123.13237412713471
1401;Downtown;"{""coordinates"": [-123.13193087427652, 49.27629525188425], ""type"": ""Point""}";__FJ011G;12461625;002559579;HORNBY ST;49.27629525188425, -123.13193087427652
1447;Downtown;"{""coordinates"": [-123.13244820891437, 49.2759533106628], ""type"": ""Point""}";__FJ0132;12461663;015506592;HORNBY ST;49.2759533106628, -123.13244820891437
1460;Downtown;"{""coordinates"": [-123.13292887161607, 49.27617449907338], ""type"": ""Point""}";__FJ0136;12161674;015506568;BURRARD ST;49.27617449907338, -123.13292887161607
1600;Downtown;"{""coordinates"": [-123.13411919650528, 49.273983748446376], ""type"": ""Point""}";__FJ014A;12461750;004809262;HORNBY ST;49.273983748446376, -123.13411919650528
1661;Downtown;"{""coordinates"": [-123.13341945820534, 49.273722321725394], ""type"": ""Point""}";__FJ014E;12661750;004809254;GRANVILLE ST;49.273722321725394, -123.13341945820534
;Downtown;"{""coordinates"": [-123.13393971492877, 49.27498109147331], ""type"": ""Point""}";__FJ014K;12461725;004808495;;49.27498109147331, -123.13393971492877
1625;Downtown;"{""coordinates"": [-123.13377386753808, 49.275110355573055], ""type"": ""Point""}";__FJ015A;12461717;VAS1886;HORNBY ST;49.275110355573055, -123.13377386753808
996;Downtown;"{""coordinates"": [-123.13472181790148, 49.2753818174345], ""type"": ""Point""}";__FJ015C;62011971;008352569;BEACH AV;49.2753818174345, -123.13472181790148
910;Downtown;"{""coordinates"": [-123.13339902333456, 49.275320799616594], ""type"": ""Point""}";__FJ015E;61712194;LMS2721;BEACH AV;49.275320799616594, -123.13339902333456
1159;Downtown;"{""coordinates"": [-123.10049403481183, 49.27426095363977], ""type"": ""Point""}";__FJ0160;19060543;LMS519;MAIN ST;49.27426095363977, -123.10049403481183
927;Downtown;"{""coordinates"": [-123.10049117565278, 49.276318398369426], ""type"": ""Point""}";__FJ016C;19060137;015642666;MAIN ST;49.276318398369426, -123.10049117565278
1929;Downtown;"{""coordinates"": [-123.13575689955225, 49.29421536749727], ""type"": ""Point""}";__FJ107E;56110816;007103590;W GEORGIA ST;49.29421536749727, -123.13575689955225
1200;Downtown;"{""coordinates"": [-123.12899464291452, 49.27876851904928], ""type"": ""Point""}";__FJ0S9E;12061204;015479901;BURRARD ST;49.27876851904928, -123.12899464291452
1200;Downtown;"{""coordinates"": [-123.12907370926753, 49.27871987475635], ""type"": ""Point""}";__FJ0S9G;12061204;015479935;BURRARD ST;49.27871987475635, -123.12907370926753
1200;Downtown;"{""coordinates"": [-123.12929535742518, 49.27857390498094], ""type"": ""Point""}";__FJ0S9M;12061204;015479986;BURRARD ST;49.27857390498094, -123.12929535742518
920;Downtown;"{""coordinates"": [-123.12881465467939, 49.27849843256434], ""type"": ""Point""}";__FJ0SAW;61212056;015480755;DAVIE ST;49.27849843256434, -123.12881465467939
910;Downtown;"{""coordinates"": [-123.12869622141343, 49.27842390450708], ""type"": ""Point""}";__FJ0SAY;61212076;015480631;DAVIE ST;49.27842390450708, -123.12869622141343
811;Downtown;"{""coordinates"": [-123.1255313976127, 49.27924681125525], ""type"": ""Point""}";__FJ0SBQ;12660693;LMS1631;HELMCKEN ST;49.27924681125525, -123.1255313976127
868;Downtown;"{""coordinates"": [-123.12026017310373, 49.28068001576203], ""type"": ""Point""}";__FJ0SCG;13060256;015463419;GRANVILLE ST;49.28068001576203, -123.12026017310373
868;Downtown;"{""coordinates"": [-123.12056684685288, 49.280485841057924], ""type"": ""Point""}";__FJ0SCO;13060256;015463672;GRANVILLE ST;49.280485841057924, -123.12056684685288
695;Downtown;"{""coordinates"": [-123.12093748457232, 49.28024303362471], ""type"": ""Point""}";__FJ0SCU;13060294;005725372;SMITHE ST;49.28024303362471, -123.12093748457232
695;Downtown;"{""coordinates"": [-123.12101092179871, 49.280193483247096], ""type"": ""Point""}";__FJ0SCW;13060294;005725381;SMITHE ST;49.280193483247096, -123.12101092179871
601;Downtown;"{""coordinates"": [-123.12051813773218, 49.27996866898462], ""type"": ""Point""}";__FJ0SD0;13460293;015463982;SMITHE ST;49.27996866898462, -123.12051813773218
601;Downtown;"{""coordinates"": [-123.12015315859756, 49.28021462650892], ""type"": ""Point""}";__FJ0SDA;13460293;015464016;SMITHE ST;49.28021462650892, -123.12015315859756
545;Downtown;"{""coordinates"": [-123.11774648011335, 49.28054456452026], ""type"": ""Point""}";__FJ0SE8;13860097;028779592;ROBSON ST;49.28054456452026, -123.11774648011335
712;Downtown;"{""coordinates"": [-123.11621749554696, 49.28082364071704], ""type"": ""Point""}";__FJ0SEO;13860026;004994124;RICHARDS ST;49.28082364071704, -123.11621749554696
848;Downtown;"{""coordinates"": [-123.11920882738234, 49.28011512842437], ""type"": ""Point""}";__FJ0SFQ;13460244;005333865;SEYMOUR ST;49.28011512842437, -123.11920882738234
848;Downtown;"{""coordinates"": [-123.11928240572713, 49.2800664425364], ""type"": ""Point""}";__FJ0SFS;13460244;005333873;SEYMOUR ST;49.2800664425364, -123.11928240572713
